model,hw,task,ablation,status,total_cycles,text_cycles,image_cycles,total_energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,total_mac,util_pct,wall_s
bagel,ours,MM,alloff,ok,160191981621.0,160191981621.0,0.0,110154.983,1826.975,182.898,108145.111,0.344,35291890.121,1217983062016,0.37125347098024586,117.6
bagel,ours,MM,onlyT1,ok,160191981621.0,160191981621.0,0.0,110154.983,1826.975,182.898,108145.111,0.344,35291890.121,1217983062016,0.37125347098024586,119.2
bagel,ours,MM,onlyT2,ok,160191981621.0,160191981621.0,0.0,110154.983,1826.975,182.898,108145.111,0.344,35291890.121,1217983062016,0.37125347098024586,120.4
bagel,ours,MM,onlyT3,ok,110403673653.0,110403673653.0,0.0,72988.282,1826.975,139.364,71021.944,0.331,16116348.897,1217983062016,0.5386761801687925,111.6
bagel,ours,MM,noT3,ok,160191981621.0,160191981621.0,0.0,110154.983,1826.975,182.898,108145.111,0.344,35291890.121,1217983062016,0.37125347098024586,119.3
janus,ours,GenEval,alloff,ok,177918875484.0,49304726364.0,128614149120.0,257210.904,189157.256,642.302,67411.347,0.723,91525349.599,126104837062656,34.60826025597117,32.4
janus,ours,GenEval,onlyT1,ok,170076243804.0,49304726364.0,120771517440.0,242675.066,179590.207,609.516,62475.342,0.713,82546527.219,119726804729856,34.37302739315617,34.5
janus,ours,GenEval,onlyT2,ok,174710325084.0,49304726364.0,125405598720.0,252073.358,184797.277,627.211,66648.87,0.721,88079636.646,123198184390656,34.43148734516838,32.3
janus,ours,GenEval,onlyT3,ok,128969064924.0,38273594844.0,90695470080.0,203165.217,151374.923,456.58,51333.713,0.788,52404056.168,126104837062656,47.74371862607923,29.8
janus,ours,GenEval,noT3,ok,166867693404.0,49304726364.0,117562967040.0,237537.52,175230.228,594.426,61712.866,0.712,79274675.968,116820152057856,34.183423230942,32.9
janus,ours,MM,alloff,ok,54268846164.0,54268846164.0,0.0,27281.51,384.045,38.487,26858.978,0.251,2961072.135,256029917184,0.2303616473108842,62.1
janus,ours,MM,onlyT1,ok,54268846164.0,54268846164.0,0.0,27281.51,384.045,38.487,26858.978,0.251,2961072.135,256029917184,0.2303616473108842,61.7
janus,ours,MM,onlyT2,ok,54268846164.0,54268846164.0,0.0,27281.51,384.045,38.487,26858.978,0.251,2961072.135,256029917184,0.2303616473108842,62.5
janus,ours,MM,onlyT3,ok,43237714644.0,43237714644.0,0.0,21113.239,384.045,32.148,20697.047,0.244,1825776.427,256029917184,0.28913324635521176,59.1
janus,ours,MM,noT3,ok,54268846164.0,54268846164.0,0.0,27281.51,384.045,38.487,26858.978,0.251,2961072.135,256029917184,0.2303616473108842,61.5
