model,hw,task,ablation,operator,cycles,pct_of_total
bagel,sdma,GenEval,,img/omap,25375257600,4.026
bagel,sdma,GenEval,,img/prefetch,204800,0.000
bagel,sdma,GenEval,,img/qkv,37783065600,5.994
bagel,sdma,MM,,text/attn,22888164698,14.574
bagel,sdma,MM,,text/ffn_down,54632445728,34.786
bagel,sdma,MM,,text/ffn_up,55522687808,35.353
bagel,sdma,MM,,text/omap,10504292288,6.688
bagel,sdma,MM,,text/qkv,13505518656,8.599
bagel,base,GenEdit,,text/attn,22938490883,2.384
bagel,base,GenEdit,,text/ffn_down,54632445728,5.678
bagel,base,GenEdit,,text/ffn_up,55522687808,5.770
bagel,base,GenEdit,,text/omap,10504292288,1.092
bagel,base,GenEdit,,text/qkv,13505518656,1.404
bagel,base,GenEdit,,img/attn,106820313600,11.101
bagel,base,GenEdit,,img/drain,204800,0.000
bagel,base,GenEdit,,img/ffn_down,201189542400,20.909
bagel,base,GenEdit,,img/ffn_up,402379084800,41.817
bagel,base,GenEdit,,img/omap,38062886400,3.956
bagel,base,GenEdit,,img/prefetch,204800,0.000
bagel,base,GenEdit,,img/qkv,56674598400,5.890
bagel,base,GenEval,,text/attn,1838097653,0.290
bagel,base,GenEval,,text/ffn_down,54632445728,8.626
bagel,base,GenEval,,text/ffn_up,55522687808,8.766
bagel,base,GenEval,,text/omap,10504292288,1.659
bagel,base,GenEval,,text/qkv,13505518656,2.132
bagel,base,GenEval,,img/attn,31812211200,5.023
bagel,base,GenEval,,img/drain,204800,0.000
bagel,base,GenEval,,img/ffn_down,134126361600,21.177
bagel,base,GenEval,,img/ffn_up,268252723200,42.354
bagel,base,GenEval,,img/omap,25375257600,4.006
bagel,base,GenEval,,img/prefetch,204800,0.000
bagel,base,GenEval,,img/qkv,37783065600,5.966
bagel,base,MM,,text/attn,22888164698,14.574
bagel,base,MM,,text/ffn_down,54632445728,34.786
bagel,base,MM,,text/ffn_up,55522687808,35.353
bagel,base,MM,,text/omap,10504292288,6.688
bagel,base,MM,,text/qkv,13505518656,8.599
janus,ours,GenEval,,text/attn,1010582940,0.846
janus,ours,GenEval,,text/ffn_down,4511820288,3.776
janus,ours,GenEval,,text/ffn_up,8940233280,7.482
janus,ours,GenEval,,text/omap,5952739584,4.981
janus,ours,GenEval,,text/qkv,17858218752,14.944
janus,ours,GenEval,,img/attn,9347235840,7.822
janus,ours,GenEval,,img/drain,15360,0.000
janus,ours,GenEval,,img/ffn_down,13028843520,10.903
janus,ours,GenEval,,img/ffn_up,24429081600,20.443
janus,ours,GenEval,,img/omap,9333964800,7.811
janus,ours,GenEval,,img/prefetch,61440,0.000
janus,ours,GenEval,,img/qkv,25085030400,20.992
janus,ours,MM,,text/attn,5974702740,13.818
janus,ours,MM,,text/ffn_down,4511820288,10.435
janus,ours,MM,,text/ffn_up,8940233280,20.677
janus,ours,MM,,text/omap,5952739584,13.767
janus,ours,MM,,text/qkv,17858218752,41.302
janus,figna,GenEval,,text/attn,1009496832,0.683
janus,figna,GenEval,,text/ffn_down,3444277248,2.330
janus,figna,GenEval,,text/ffn_up,6004973568,4.063
janus,figna,GenEval,,text/omap,2183626752,1.477
janus,figna,GenEval,,text/qkv,6550880256,4.432
janus,figna,GenEval,,img/attn,17189867520,11.630
janus,figna,GenEval,,img/drain,15360,0.000
janus,figna,GenEval,,img/ffn_down,25668403200,17.366
janus,figna,GenEval,,img/ffn_up,51336806400,34.732
janus,figna,GenEval,,img/omap,9333964800,6.315
janus,figna,GenEval,,img/prefetch,61440,0.000
janus,figna,GenEval,,img/qkv,25085030400,16.971
janus,figna,MM,,text/attn,6299394816,25.730
janus,figna,MM,,text/ffn_down,3444277248,14.068
janus,figna,MM,,text/ffn_up,6004973568,24.527
janus,figna,MM,,text/omap,2183626752,8.919
janus,figna,MM,,text/qkv,6550880256,26.757
janus,flightvgm,GenEval,,text/attn,900292728,0.966
janus,flightvgm,GenEval,,text/ffn_down,8026798080,8.608
janus,flightvgm,GenEval,,text/ffn_up,8204604672,8.799
janus,flightvgm,GenEval,,text/omap,2983492608,3.200
janus,flightvgm,GenEval,,text/qkv,8950477824,9.599
janus,flightvgm,GenEval,,img/attn,9520957440,10.211
janus,flightvgm,GenEval,,img/drain,122880,0.000
janus,flightvgm,GenEval,,img/ffn_down,13028843520,13.973
janus,flightvgm,GenEval,,img/ffn_up,24157647360,25.908
janus,flightvgm,GenEval,,img/omap,4737761280,5.081
janus,flightvgm,GenEval,,img/prefetch,122880,0.000
janus,flightvgm,GenEval,,img/qkv,12732733440,13.655
janus,flightvgm,MM,,text/attn,5577705192,16.530
janus,flightvgm,MM,,text/ffn_down,8026798080,23.788
janus,flightvgm,MM,,text/ffn_up,8204604672,24.315
janus,flightvgm,MM,,text/omap,2983492608,8.842
janus,flightvgm,MM,,text/qkv,8950477824,26.525
janus,sdma,GenEval,,text/attn,900292728,0.955
janus,sdma,GenEval,,text/ffn_down,8026798080,8.511
