context_length,total_cycles,seconds,energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,sparsity_cross_attn,low_precise_self_attn,text_only_sim,image_only_sim,kv_cache_without_img,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
1497,756293458317.0,1512.586916634,1426990.375905173,1130355.93947136,31450.429818528002,265184.00661528483,0.9434104977456055,2158446972.7567983,0.3702,0.3575,0.2494,0.207,-1696,4522460544.0,12722849069.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,42992364800.0,38062886400.0,307880966400.0,201189542400.0,1787.6319498239998,5201.561533548805,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488001,71483.34533760001,42402.39489024,636640.8386150401,414966.24820224
2566,771858317413.5,1543.716634827,1447054.9486150895,1138848.829884416,31857.697407536,276348.4213231376,0.9373837892070096,2233842795.6843963,0.409,0.3867,0.2723,0.1829,-627,4522460544.0,20021346565.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,54307052800.0,38062886400.0,304832640000.0,201189542400.0,1787.6319498239998,8438.857924425594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,91357.20484800001,42402.39489024,630481.2836044799,414966.24820224004
3211,777970189274.0,1555.940378548,1456247.9541387935,1141746.5857064961,31954.423924416,282546.94450788165,0.9359278634427888,2265834993.0224648,0.4217,0.4079,0.2844,0.1842,18,4522460544.0,24278543226.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,62258380800.0,38062886400.0,298735987200.0,201189542400.0,1787.6319498239998,10392.227950809594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,104064.79303360001,42402.39489024,623790.956544,414966.24820224004
5648,825872487630.5,1651.744975261,1526729.3071052162,1179425.191081984,33410.573410256,313893.54261297605,0.9243129720221456,2521767461.593222,0.4877,0.5256,0.29,0.1884,2455,4522460544.0,41043631982.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,96443916800.0,38062886400.0,295687660800.0,201189542400.0,1787.6319498239998,17772.771539152,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,161997.8340736,42402.39489024,619378.2652108801,414966.24820224004
7609,865577361213.0,1731.154722426,1577094.4710994514,1203796.246990848,34643.848382304,338654.3757262992,0.9110072315716227,2730194541.35575,0.4978,0.5457,0.3021,0.1927,4416,4522460544.0,54428057565.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,122764364800.0,38062886400.0,295687660800.0,201189542400.0,1787.6319498239998,23711.495755987187,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874880016,206247.13770080003,42402.394890239986,611614.4266444801,414966.2482022401
8754,890899648563.5,1781.799297127,1617926.5273162194,1227839.493859328,35437.085063408005,354649.9483934833,0.9080296136191637,2882820349.1735497,0.5125,0.5741,0.2962,0.1938,5561,4522460544.0,62178082515.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,140336627200.0,38062886400.0,295687660800.0,201189542400.0,1787.6319498239998,27178.92598339519,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,235829.96272192002,42402.39489024,614331.7701427201,414966.2482022401
9909,920512664083.0,1841.025328166,1665106.5606991793,1256494.7450388481,36331.586077472006,372280.2295828592,0.9044452214885776,3065503352.342566,0.5297,0.6154,0.2863,0.194,6716,4522460544.0,72587174835.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,159540550400.0,38062886400.0,295687660800.0,201189542400.0,1787.6319498239998,30676.68134491519,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,268154.95064288,42402.39489024,619766.4571392001,414966.2482022401
11969,977475384849.0,1954.950769698,1751894.7774579474,1310588.940709888,38302.146764448,403003.6899836112,0.8961324267662143,3424868043.6213202,0.5375,0.6256,0.2536,0.1932,8776,4522460544.0,87141543601.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,189755596800.0,38062886400.0,307880966400.0,201189542400.0,1787.6319498239998,36915.45098120319,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,319078.8003872,42402.39489024,637999.51036416,414966.2482022401
12018,971642357267.5,1943.284714535,1746054.0282570322,1306313.0988400641,38010.392518448,401730.53689852,0.8985065416293032,3393080103.862407,0.5338,0.6237,0.2636,0.1873,8825,4522460544.0,87563850419.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,189596915200.0,38062886400.0,301784313600.0,201189542400.0,1787.6319498239998,37063.784025968,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,318423.40318432,42402.39489024,633832.4308377601,414966.24820224004
