hw,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
figna,32,51004146491472.0,102008.292982944,0.00031369998520954043,45913703.509177476,1434803.2346617961,29011693.711458307,2079708.864927232,14822300.932791935,0.45009775349200615,4683578519496.2,13848996672.0,786426996656.0,10771441856.0,113869528192.0,54899595296.0,3144553574400.0,6172631449600.0,2414830387200.0,25528206950400.0,12764103475200.0,3584.4705878016,339257.45524643845,2798.11883008,29186.790391808,14590.243569663993,1899017.84088576,10446513.8161664,1394856.8980684802,14390608.865525762,7192459.711610881
figna,64,102002981333440.0,204005.96266688,0.00031371632065727993,91803033.74800251,1434422.4023125393,58023387.42291661,4159417.729854464,29620228.595231436,0.4500017183218663,18728366275501.324,27205859520.0,1572853993312.0,21160112960.0,223692622720.0,109408879328.0,6289107148800.0,12345262899200.0,4829660774400.0,51056413900800.0,25528206950400.0,5516.9847656448,678514.9104928769,4311.3826746368,44790.8280795136,22389.110787276797,3798035.68177152,20893027.6323328,2789713.7961369604,28781217.731051527,14384919.423221761
flightvgm,1,975076388771.0,1950.152777542,0.0005127803377848243,2681511.3389901393,2681511.3389901393,2130846.014244864,71399.78877304001,479265.53597223514,1.3750262901811998,5229356785.741987,13505518656.0,22938490883.0,10504292288.0,111045375616.0,54632445728.0,56674598400.0,106820313600.0,38062886400.0,359702515200.0,201189542400.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,324007.817952,121049.5899648,1136776.4126924798,634197.4431744
flightvgm,2,1760504950950.0,3521.0099019,0.0005680188513303425,5229607.91427345,2614803.957136725,4261692.028489728,140558.14096419202,827357.7448195297,1.4852579401868367,18413501249.211422,13509211968.0,45876981766.0,10507164864.0,111075742848.0,54635318304.0,113349196800.0,213640627200.0,76125772800.0,719405030400.0,402379084800.0,7090.9660028928,21044.63549229439,5515.833108889601,58285.6530378752,29142.62954229761,324364.67933184,648015.635904,242099.1799296,2273552.8253849605,1268394.8863488
flightvgm,4,3331362075308.0,6662.724150616,0.0006003550364050689,10325801.06484007,2581450.2662100177,8523384.056979457,278874.84534649603,1523542.1625141187,1.5497866685483896,68797964129.16635,13516598592.0,91753963532.0,10512910016.0,111136477312.0,54641063456.0,226698393600.0,427281254400.0,152251545600.0,1438810060800.0,804758169600.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,1296031.271808,484198.35985920014,4547105.65076992,2536789.7726976
flightvgm,8,6473076324024.0,12946.152648048,0.0006179442045437512,20518187.365973312,2564773.420746664,17046768.113958914,555508.2541111041,2915910.9979032963,1.584886871318253,265631585701.14044,13531371840.0,183507927064.0,10524400320.0,111257946240.0,54652553760.0,453396787200.0,854562508800.0,304503091200.0,2877620121600.0,1609516339200.0,8063.8612045824,84178.54196917762,6274.441363456001,66231.47796070401,33114.951073791985,1297458.71732736,2592062.543616,968396.7197184,9094211.30153984,5073579.5453952
flightvgm,16,12756504821456.0,25513.009642912,0.000627131029382302,40902959.96823979,2556434.998014987,34093536.22791783,1108775.0716403201,5700648.668681651,1.603219711854082,1043557612093.3453,13560918336.0,367015854128.0,10547380928.0,111500884096.0,54675534368.0,906793574400.0,1709125017600.0,609006182400.0,5755240243200.0,3219032678400.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,5184125.087232,1936793.4394368,18188422.603079677,10147159.0907904
flightvgm,32,25323361816320.0,50646.72363264,0.0006318276426350537,81672505.17277278,2552265.7866491494,68187072.45583566,2215308.706698752,11270124.010238362,1.612592075356633,4136444797870.783,13620011328.0,734031708256.0,10593342144.0,111986759808.0,54721495584.0,1813587148800.0,3418250035200.0,1218012364800.0,11510480486400.0,6438065356800.0,11955.442011340801,336714.1678767105,9308.874381721598,98014.7776520192,49004.237199769595,5189834.86930944,10368250.174464,3873586.8788736,36376845.20615937,20294318.1815808
flightvgm,64,50643904199296.0,101287.808398592,0.0006318628175677821,163251202.69707018,2550800.0421417216,136374144.9116713,4430617.413397504,22446440.37200138,1.6117557016796855,16535356539620.549,26978259168.0,1468063416512.0,20983090464.0,221821242048.0,109241192704.0,3627174297600.0,6836500070400.0,2436024729600.0,23020960972800.0,12876130713600.0,17303.058382848,673428.3357534208,13478.3288213504,141698.5444876288,70842.9689913344,10379669.73861888,20736500.348928,7747173.757747202,72753690.41231872,40588636.3631616
sdma,1,1007010903971.0,2014.021807942,0.0004965189532986418,2787512.000490299,2787512.000490299,2233737.923364864,74604.11912184,479169.95800359524,1.3840525407908464,5614109958.887493,13505518656.0,22938490883.0,10504292288.0,111045375616.0,54632445728.0,56674598400.0,96078259200.0,38062886400.0,402379084800.0,201189542400.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,291825.30768384004,121049.5899648,1268572.6814207998,634197.4431744
sdma,2,1824373981350.0,3648.7479627,0.0005481332282868999,5441609.23727377,2720804.618636885,4467475.846729728,146966.801661792,827166.5888822497,1.4913634191513432,19855060618.31217,13509211968.0,45876981766.0,10507164864.0,111075742848.0,54635318304.0,113349196800.0,192156518400.0,76125772800.0,804758169600.0,402379084800.0,7090.9660028928,21044.63549229439,5515.833108889601,58285.6530378752,29142.62954229761,324364.67933184,583650.6153676801,242099.1799296,2537145.3628416006,1268394.8863488
sdma,4,3459100136108.0,6918.200272216,0.0005781850542928475,10749803.710840711,2687450.927710178,8934951.693459457,291692.166741696,1523159.8506395586,1.5538439605474723,74369294958.60677,13516598592.0,91753963532.0,10512910016.0,111136477312.0,54641063456.0,226698393600.0,384313036800.0,152251545600.0,1609516339200.0,804758169600.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,1167301.2307353602,484198.35985920014,5074290.7256832,2536789.7726976
