context_length,total_cycles,seconds,energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,sparsity_cross_attn,low_precise_self_attn,text_only_sim,image_only_sim,kv_cache_without_img,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
1497,665296248986.0,1330.592497972,2590915.1634096582,1110347.22554069,31450.429818528002,1249528.63335464,1.9471890660428022,3447452279.31479,0.3702,0.3575,0.2494,0.207,-1696,828943360.0,2485703066.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,42992364800.0,38062886400.0,307880966400.0,201189542400.0,8617.60101572608,25691.7090472,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,154800.87934080002,54333.133381632004,715705.2411084801,461022.980038656
2566,675109997707.0,1350.219995414,2653951.0451354543,1118928.5156291379,31857.697407536,1300631.83278668,1.9655693547344544,3583417767.991774,0.409,0.3867,0.2723,0.1829,-627,828943360.0,4033090187.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,54307052800.0,38062886400.0,304832640000.0,201189542400.0,8617.60101572608,41684.426953904,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,195661.0440288,54333.133381632004,709130.3669022722,461022.980038656
3211,677898316212.0,1355.796632424,2686183.1562703704,1121920.3743314738,31954.423924416,1328938.86315088,1.9812581710487065,3641918077.3454394,0.4217,0.4079,0.2844,0.1842,18,828943360.0,4966733492.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,62258380800.0,38062886400.0,298735987200.0,201189542400.0,8617.60101572608,51334.005472064004,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,221751.20363200002,54333.133381632004,701997.9258593281,461022.980038656
5648,712563105245.0,1425.12621049,2882066.094866022,1159661.7149604661,33410.573410256,1475224.8749218,2.022323408026496,4107307932.158127,0.4877,0.5256,0.29,0.1884,2455,828943360.0,8494312925.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,96443916800.0,38062886400.0,295687660800.0,201189542400.0,8617.60101572608,87793.09184251203,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,340818.26410240005,54333.133381632004,697290.4918712322,461022.980038656
7609,741722118394.0,1483.444236788,3031946.891023674,1184146.8349666102,34643.848382304,1590639.5721565601,2.0438563282894546,4497724141.736363,0.4978,0.5457,0.3021,0.1927,4416,828943360.0,11332878074.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,122764364800.0,38062886400.0,295687660800.0,201189542400.0,8617.60101572608,117130.67629558404,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,431754.493016,54333.133381632004,688990.7575685121,461022.980038656
8754,760951778599.0,1521.903557198,3137799.01141691,1208150.1594010422,35437.085063408005,1665926.23337276,2.061759430534455,4775427477.247764,0.5125,0.5741,0.2962,0.1938,5561,828943360.0,12990275879.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,140336627200.0,38062886400.0,295687660800.0,201189542400.0,8617.60101572608,134260.36810916805,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,492573.45632320014,54333.133381632004,691895.6645744641,461022.980038656
9909,781827574694.0,1563.655149388,3254446.828462698,1236725.5657124661,36331.586077472006,1746841.4042645602,2.0813072688926697,5088832541.735143,0.5297,0.6154,0.2863,0.194,6716,828943360.0,14662148774.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,159540550400.0,38062886400.0,295687660800.0,201189542400.0,8617.60101572608,151539.70611875204,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,558993.5864240002,54333.133381632004,697705.478586368,461022.980038656
11969,827217795234.0,1654.435590468,3468392.279535002,1290560.2655621942,38302.146764448,1891364.52863816,2.0964202532380707,5738231628.967144,0.5375,0.6256,0.2536,0.1932,8776,828943360.0,17644017314.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,189755596800.0,38062886400.0,307880966400.0,201189542400.0,8617.60101572608,182358.61450396804,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,663660.6263840002,54333.133381632004,717157.694611456,461022.980038656
12018,821033388775.0,1642.06677755,3455295.5892829583,1286341.4557410101,38010.392518448,1884633.724391,2.104235732993962,5673826093.776596,0.5338,0.6237,0.2636,0.1873,8825,828943360.0,17714945255.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,189596915200.0,38062886400.0,301784313600.0,201189542400.0,8617.60101572608,183091.62075198404,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,662305.6856752002,54333.133381632004,712722.6672168961,461022.980038656
