combo,dataset,hw,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
MMVet/all_on,MMVet,all_on,batch,1,3241,1,16700927530.0,33.40185506,0.02993845695706698,195030.97556555425,195030.97556555425,940.8717637222401,1361.400105632,187718.4254372,5.838926467264128,6514396.378051045,828943360.0,5010158762.0,644893312.0,6811288064.0,3405644032.0,0,0,0,0,0,8617.60101572608,51782.944060064016,6704.21274435584,70810.07362981889,35404.93832658944,0,0,0,0,0
MMVet/all_off,MMVet,all_off,batch,1,3241,1,51723374122.0,103.446748244,0.009666809416196423,601849.847314408,601849.847314408,2479.9915499520002,2482.118396576,581370.72513128,5.817967771155299,62259409.635823414,3310849024.0,5010158762.0,2575264384.0,27218067968.0,13609033984.0,0,0,0,0,0,34220.807477248,51782.944060064,26617.817769984,281325.326757888,140662.564890624,0,0,0,0,0
GEdit/all_off,GEdit,all_off,batch,4,3254,4,6342120010988.0,12684.240021976,0.0003153519637810247,21999183.331309874,5499795.832827468,9027547.366957057,294937.599343296,10774062.36171312,1.7343714162768384,279042921661.788,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,415268985600.0,771578931200.0,301853798400.0,3191025868800.0,1595512934400.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,2695040.7316224,582534.3283200001,5930642.35008,2964965.584896
MMVet/all_on,MMVet,all_on,batch,4,3241,4,31781263528.0,63.562527056,0.06293016003715382,372602.713717705,93150.67842942625,3763.4870548889603,2083.445549696,357221.40205472003,5.861987101133246,23683570.071820647,833867776.0,20040635048.0,649202176.0,6838372352.0,3419186176.0,0,0,0,0,0,8817.42711980032,207131.77624025597,6864.53557723136,72315.81743153154,36157.51476248575,0,0,0,0,0
MMVet/all_off,MMVet,all_off,batch,4,3241,4,66803710120.0,133.60742024,0.02993845695706698,784038.9448252481,196009.73620631202,9919.966199808001,3204.16384064,750873.7017488,5.868229050578725,104753420.7857931,3315773440.0,20040635048.0,2579573248.0,27245152256.0,13622576128.0,0,0,0,0,0,34747.848024064006,207131.776240256,27032.640724992,285521.500422144,142760.356257792,0,0,0,0,0
GEdit/all_off,GEdit,all_off,batch,16,3254,16,25228390257584.0,50456.780515168,0.0003171030699271465,86373372.88080712,5398335.805050445,36110189.46782823,1173026.08762752,41521640.24807616,1.7118288562791293,4358122317801.6484,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,1661075942400.0,3086315724800.0,1207415193600.0,12764103475200.0,6382051737600.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,10780162.9264896,2330137.3132800004,23722569.40032,11859862.339584
MMVet/all_on,MMVet,all_on,batch,16,3241,16,103510837920.0,207.02167584,0.07728659298635886,1097720.365846308,68607.52286539425,15053.948219555841,4971.627325952,1046641.5389248001,5.3024416955000335,227251909.74120057,1654603776.0,80162540192.0,1286914048.0,13604519936.0,6802259968.0,0,0,0,0,0,9616.73153609728,828527.104961024,7505.826908733442,78338.79263838209,39167.820506071046,0,0,0,0,0
MMVet/all_off,MMVet,all_off,batch,16,3241,16,127125054112.0,254.250108224,0.06293016003715382,1512795.334868608,94549.708429288,39679.864799232004,6092.345616896,1428885.6082188801,5.950028282921326,384628377.6111059,3335471104.0,80162540192.0,2596808704.0,27353489408.0,13676744704.0,0,0,0,0,0,36856.010211328,828527.104961024,28691.932545024003,302306.195079168,151151.521726464,0,0,0,0,0
GEdit/all_off,GEdit,all_off,batch,64,3254,64,100819104165568.0,201638.208331136,0.00031740016205111966,343931695.31345797,5373932.739272781,144440757.87131292,4687621.477346304,164557584.71512833,1.7056871222969978,69349770831295.82,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,6644303769600.0,12345262899200.0,4829660774400.0,51056413900800.0,25528206950400.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,43120651.7059584,9320549.253120001,94890277.60128,47439449.358336
MMVet/all_on,MMVet,all_on,batch,64,3241,64,414043351680.0,828.08670336,0.07728659298635886,4030010.173701264,62968.90896408225,60215.792878223365,17645.07272192,3827936.3025971204,4.866652437902108,3337197839.2475405,6618415104.0,320650160768.0,5147656192.0,54418079744.0,27209039872.0,0,0,0,0,0,12893.370182533119,3314108.419844096,10132.76410904576,103083.71042271233,51535.551958876174,0,0,0,0,0
MMVet/all_off,MMVet,all_off,batch,64,3241,64,414043351680.0,828.08670336,0.07728659298635886,4489385.129703936,70146.642651624,158719.45919692802,19886.509303808,4186566.1556992005,5.421395019975624,3717600132.1699386,6618415104.0,320650160768.0,5147656192.0,54418079744.0,27209039872.0,0,0,0,0,0,45447.500922880005,3314108.419844096,35452.643573760004,370751.00762112,185369.20055808002,0,0,0,0,0
