hw,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
figna,32,50231953772384.0,100463.907544768,0.00031852235078294556,123117404.98206341,3847418.9056894816,32036301.677152175,2079708.864927232,73931808.3082688,1.2254889142869614,12368855591269.777,3309207552.0,160927244128.0,2573828096.0,27209039872.0,13604519936.0,3144553574400.0,6172631449600.0,2414830387200.0,25528206950400.0,12764103475200.0,11074.28093198336,1665812.914042368,8665.623263969283,89590.97656836096,44792.33665794047,3131810.8895969284,21638589.4946816,2014535.0773309441,19475892.13736141,9735101.347528705
figna,64,100463907544768.0,200927.815089536,0.00031852235078294556,246115266.67975947,3845551.0418712418,64072603.35430435,4159417.729854464,147744073.33217025,1.2248939579126332,49451402794142.555,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,6289107148800.0,12345262899200.0,4829660774400.0,51056413900800.0,25528206950400.0,13676.99053084672,3331625.828084736,10742.246602178564,109526.81106440192,54757.10227972097,6263621.779193857,43277178.9893632,4029070.1546618883,38951784.27472282,19470202.69505741
flightvgm,1,814192457339.0,1628.384914678,0.000614105418802496,4718389.6294459645,4718389.6294459645,2130846.014244864,71399.78877304001,2271886.08922636,2.8975886394642676,7683354494.162927,3310849024.0,5028976379.0,2575264384.0,27218067968.0,13609033984.0,56674598400.0,106820313600.0,38062886400.0,359702515200.0,201189542400.0,34220.807477248,51977.17583352001,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,673760.1829056,145633.58208000002,1343682.2626304,741241.396224
flightvgm,2,1581688319222.0,3163.376638444,0.0006322358127370375,8895659.110747801,4447829.555373901,4261692.028489728,140558.14096419202,4018902.44552728,2.812077133857634,28140320214.50112,3312490496.0,10057952758.0,2576700672.0,27227096064.0,13613548032.0,113349196800.0,213640627200.0,76125772800.0,719405030400.0,402379084800.0,34396.487659520004,103954.35166704001,26756.09208832,282724.05131264,141361.82867968,441636.63667200005,1347520.3658112,291267.16416000004,2687364.5252608,1482482.792448
flightvgm,4,3116680042988.0,6233.360085976,0.0006417084758185749,17250198.073351473,4312549.518337868,8523384.056979457,278874.84534649603,7512935.15812912,2.7673995783047225,107526696145.60918,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,226698393600.0,427281254400.0,152251545600.0,1438810060800.0,804758169600.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,2695040.7316224,582534.3283200001,5374729.0505216,2964965.584896
flightvgm,8,6186663490520.0,12373.32698104,0.00064655205606856,33959275.99855882,4244909.499819852,17046768.113958914,555508.2541111041,14501000.583332801,2.7445549649334877,420189225969.5519,3322339328.0,40231811032.0,2585318400.0,27281264640.0,13640632320.0,453396787200.0,854562508800.0,304503091200.0,2877620121600.0,1609516339200.0,35450.568753152,415817.40666816005,27585.737998336,291116.398641152,145557.411414016,1766546.5466880002,5390081.4632448,1165068.6566400002,10749458.1010432,5929931.169792
flightvgm,16,12326630385584.0,24653.260771168,0.0006490013693730936,67377431.84897351,4211089.490560845,34093536.22791783,1108775.0716403201,28477131.43374016,2.733002845926631,1661073397464.344,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,906793574400.0,1709125017600.0,609006182400.0,5755240243200.0,3219032678400.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,10780162.9264896,2330137.3132800004,21498916.2020864,11859862.339584
flightvgm,32,24606564175712.0,49213.128351424,0.0006502329982254434,134213743.54980288,4194179.48593134,68187072.45583566,2215308.706698752,56429393.134554885,2.7271939022327842,6605078187841.554,3361734656.0,160927244128.0,2619789312.0,27497938944.0,13748969472.0,1813587148800.0,3418250035200.0,1218012364800.0,11510480486400.0,6438065356800.0,39666.89312768,1663269.6266726402,30904.3216384,324685.7879552,162339.74235136,7066186.186752001,21560325.8529792,4660274.626560001,42997832.4041728,23719724.679168
flightvgm,64,49166431755968.0,98332.863511936,0.0006508505672900642,267888608.38804352,4185759.50606318,136374144.9116713,4430617.413397504,112333916.53618433,2.7243039490609995,26342253965023.957,3414261760.0,321854488256.0,2665750528.0,27786838016.0,13893419008.0,3627174297600.0,6836500070400.0,2436024729600.0,23020960972800.0,12876130713600.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,43120651.7059584,9320549.253120001,85995664.8083456,47439449.358336
sdma,1,846126972539.0,1692.253945078,0.0005909278586163424,4832757.246322764,4832757.246322764,2233737.923364864,74604.11912184,2270577.1120743603,2.8558108907821227,8178252515.69399,3310849024.0,5028976379.0,2575264384.0,27218067968.0,13609033984.0,56674598400.0,96078259200.0,38062886400.0,402379084800.0,201189542400.0,34220.807477248,51977.17583352001,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,607634.6051328001,145633.58208000002,1482660.58752,741241.396224
