model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEdit,alloff,img/attn,192894732800,10.803
bagel,ours,GenEdit,alloff,img/drain,25600,0.0
bagel,ours,GenEdit,alloff,img/ffn_down,398878233600,22.34
bagel,ours,GenEdit,alloff,img/ffn_up,797756467200,44.679
bagel,ours,GenEdit,alloff,img/omap,75463449600,4.226
bagel,ours,GenEdit,alloff,img/prefetch,102400,0.0
bagel,ours,GenEdit,alloff,img/qkv,103817246400,5.814
bagel,ours,GenEdit,alloff,text/attn,24575843646,1.376
bagel,ours,GenEdit,alloff,text/ffn_down,54804082144,3.069
bagel,ours,GenEdit,alloff,text/ffn_up,112916756288,6.324
bagel,ours,GenEdit,alloff,text/omap,10681314784,0.598
bagel,ours,GenEdit,alloff,text/qkv,13733119008,0.769
bagel,ours,GenEdit,allon_pure,img/attn,60167923200,7.347
bagel,ours,GenEdit,allon_pure,img/drain,25600,0.0
bagel,ours,GenEdit,allon_pure,img/ffn_down,201189542400,24.566
bagel,ours,GenEdit,allon_pure,img/ffn_up,234721132800,28.661
bagel,ours,GenEdit,allon_pure,img/omap,75463449600,9.215
bagel,ours,GenEdit,allon_pure,img/prefetch,102400,0.0
bagel,ours,GenEdit,allon_pure,img/qkv,103817246400,12.677
bagel,ours,GenEdit,allon_pure,text/attn,24575843646,3.001
bagel,ours,GenEdit,allon_pure,text/ffn_down,28334012448,3.46
bagel,ours,GenEdit,allon_pure,text/ffn_up,66280279744,8.093
bagel,ours,GenEdit,allon_pure,text/omap,10681314784,1.304
bagel,ours,GenEdit,allon_pure,text/qkv,13733119008,1.677
bagel,ours,GenEdit,noT3,img/attn,60167923200,4.557
bagel,ours,GenEdit,noT3,img/drain,25600,0.0
bagel,ours,GenEdit,noT3,img/ffn_down,398878233600,30.209
bagel,ours,GenEdit,noT3,img/ffn_up,465357939200,35.244
bagel,ours,GenEdit,noT3,img/omap,75463449600,5.715
bagel,ours,GenEdit,noT3,img/prefetch,102400,0.0
bagel,ours,GenEdit,noT3,img/qkv,103817246400,7.863
