model,hw,task,ablation,stage,qkvo,attn,ffn_up,ffn_down,misc,stage_total
janus,ours,GenEval,allon_pure,text,23810958336,1010582940,17880466560,4511820288,0,47213828124
janus,ours,GenEval,allon_pure,image,34418995200,9347235840,24429081600,13028843520,15360,81224171520
janus,ours,GenEval,noT3,text,23810958336,1010582940,32740067712,8113151232,0,65674760220
janus,ours,GenEval,noT3,image,34418995200,9347235840,48128256000,25668403200,15360,117562905600
janus,ours,GenEval,onlyT1,text,23810958336,1010582940,32740067712,8113151232,0,65674760220
janus,ours,GenEval,onlyT1,image,34418995200,9347235840,51336806400,25668403200,15360,120771456000
janus,ours,GenEval,onlyT2,text,23810958336,1010582940,32740067712,8113151232,0,65674760220
janus,ours,GenEval,onlyT2,image,34418995200,17189867520,48128256000,25668403200,15360,125405537280
janus,ours,GenEval,onlyT3,text,23810958336,1010582940,17880466560,4511820288,0,47213828124
janus,ours,GenEval,onlyT3,image,34418995200,17189867520,26057687040,13028843520,15360,90695408640
janus,ours,MM,all_on,text,4392579072,5974702740,17880466560,4511820288,0,32759568660
janus,ours,MM,alloff,text,23810958336,5974702740,32740067712,8113151232,0,70638880020
janus,ours,MM,allon_pure,text,23810958336,5974702740,17880466560,4511820288,0,52177947924
janus,ours,MM,noT3,text,23810958336,5974702740,32740067712,8113151232,0,70638880020
janus,ours,MM,onlyT1,text,23810958336,5974702740,32740067712,8113151232,0,70638880020
janus,ours,MM,onlyT2,text,23810958336,5974702740,32740067712,8113151232,0,70638880020
janus,ours,MM,onlyT3,text,23810958336,5974702740,17880466560,4511820288,0,52177947924
janus,sdma,GenEval,all_on,text,11933970432,900292728,16409209344,8026798080,0,37270270584
janus,sdma,GenEval,all_on,image,17470494720,8691148800,26057687040,13028843520,122880,65248296960
janus,sdma,MM,all_on,text,11933970432,5577705192,16409209344,8026798080,0,41947683048
