model,hw,task,ablation,status,total_cycles,text_cycles,image_cycles,total_energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,total_mac,util_pct
bagel,ours,MM,onlyT1,ok,216650359765.0,216650359765.0,0.0,151573.415,2479.992,2482.118,146611.305,0.35,65676869.931,1653327699968,0.3726229288867389
bagel,ours,MM,onlyT2,ok,216650359765.0,216650359765.0,0.0,151573.415,2479.992,2482.118,146611.305,0.35,65676869.931,1653327699968,0.3726229288867389
bagel,ours,MM,onlyT3,ok,143543813525.0,143543813525.0,0.0,95550.831,2479.992,1829.101,91241.738,0.333,27431461.343,1653327699968,0.5623989611084147
bagel,ours,MM,noT3,ok,216650359765.0,216650359765.0,0.0,151573.415,2479.992,2482.118,146611.305,0.35,65676869.931,1653327699968,0.3726229288867389
janus,ours,GenEval,alloff,ok,194288909340.0,65674760220.0,128614149120.0,270414.174,189252.345,6518.137,74643.692,0.696,105076950.014,126168229773312,31.70823345155127
janus,ours,GenEval,onlyT1,ok,186446277660.0,65674760220.0,120771517440.0,255583.265,179685.296,6190.281,69707.688,0.685,95305096.755,119790197440512,31.371668063367654
janus,ours,GenEval,onlyT2,ok,191080358940.0,65674760220.0,125405598720.0,265140.815,184892.366,6367.233,73881.216,0.694,101326404.029,123261577101312,31.497908669356615
janus,ours,GenEval,onlyT3,ok,137909298204.0,47213828124.0,90695470080.0,211201.487,151470.012,4629.228,55102.247,0.766,58253297.739,126168229773312,44.671085812409096
janus,ours,GenEval,noT3,ok,183237727260.0,65674760220.0,117562967040.0,250309.905,175325.317,6039.376,68945.212,0.683,91732436.248,116883544768512,31.14644794901829
janus,ours,MM,alloff,ok,70638880020.0,70638880020.0,0.0,35050.447,479.134,479.989,34091.324,0.248,4951848.641,319422627840,0.22079636590478322
janus,ours,MM,onlyT1,ok,70638880020.0,70638880020.0,0.0,35050.447,479.134,479.989,34091.324,0.248,4951848.641,319422627840,0.22079636590478322
janus,ours,MM,onlyT2,ok,70638880020.0,70638880020.0,0.0,35050.447,479.134,479.989,34091.324,0.248,4951848.641,319422627840,0.22079636590478322
janus,ours,MM,onlyT3,ok,52177947924.0,52177947924.0,0.0,25329.614,479.134,384.9,24465.58,0.243,2643294.54,319422627840,0.2989157032913137
janus,ours,MM,noT3,ok,70638880020.0,70638880020.0,0.0,35050.447,479.134,479.989,34091.324,0.248,4951848.641,319422627840,0.22079636590478322
bagel,ours,GenEdit,allon_pure,ok,818963992029.5,143604569629.5,675359422400.0,1511795.76,1173972.384,32764.693,305058.683,0.923,2476212580.915,1064640051736576,63.475779194364705
bagel,ours,GenEval,allon_pure,ok,620312348286.5,121091999486.5,499220348800.0,1140639.195,888288.642,24786.252,227564.301,0.919,1415105155.526,819623564103680,64.51698398645432
bagel,ours,MM,allon_pure,ok,143543813525.0,143543813525.0,0.0,95550.831,2479.992,1829.101,91241.738,0.333,27431461.343,1653327699968,0.5623989611084147
janus,ours,GenEval,allon_pure,ok,128438061084.0,47213828124.0,81224232960.0,192941.276,138996.311,4225.21,49719.755,0.751,49562006.709,116883544768512,44.43546006714802
janus,ours,MM,allon_pure,ok,52177947924.0,52177947924.0,0.0,25329.614,479.134,384.9,24465.58,0.243,2643294.54,319422627840,0.2989157032913137
